Feature,Importance
event_related_dynamics,521.7613525390625
peak_to_peak_amplitude,436.677001953125
signal_variance,141.1638641357422
hjorth_activity,119.94679260253906
kurtosis,100.33710479736328
hjorth_complexity,97.53374481201172
spike_count,83.45547485351562
snr,81.46380615234375
mean,79.89537811279297
skewness,78.66160583496094
zero_crossing_rate,77.69883728027344
hjorth_mobility,72.01280212402344
spectral_entropy,68.80425262451172
peak_to_peak,66.41387176513672
shannon_entropy,63.15302658081055
amplitude_modulation,53.56889724731445
standard_deviation,47.749481201171875
variance,44.014732360839844
relative_power,39.00333786010742
band_power,38.463443756103516
power_tfr_morlet,35.58738708496094
power_psd_welch,34.09662628173828
